40000 100000
1 32784 19068
1 27545 16762
1 23495 4699
1 5663 21617
1 14793 9108
1 3642 28007
1 38230 25283
1 22136 18716
1 21124 1858
1 27385 8449
1 7002 18761
1 3878 33942
1 17383 38617
1 20409 19236
1 31971 29650
1 17917 37529
1 20876 20478
1 18384 19325
1 35347 21716
1 20380 4813
1 995 1061
1 22863 15626
1 6803 15295
1 15851 20550
1 36485 13817
1 15374 3878
1 12370 7473
1 27619 37395
1 26715 20326
1 39503 16514
1 4964 33848
1 30197 34527
1 11962 38020
1 12776 4173
1 28953 30391
1 5958 21093
1 29534 20368
1 32426 7357
1 34199 11777
1 30679 37565
1 993 28272
1 16178 36383
1 17966 28390
1 14624 14780
1 26628 8317
1 23106 12741
1 4407 6506
1 33667 20560
1 13296 33613
1 6927 39067
1 19977 3741
1 24493 31101
1 12890 3945
1 27117 1242
1 33319 12738
1 1765 4237
1 27089 16292
1 24106 18576
1 29555 13750
1 5819 6979
1 30844 2279
1 34262 13318
1 11066 26340
1 18279 691
1 9151 33199
1 22556 9692
1 12520 8000
1 23263 5472
1 3661 23563
1 28528 26622
1 31622 3172
1 34826 31711
1 32741 19985
1 9845 11352
1 38805 25699
1 26910 10285
1 27497 39857
1 22502 11974
1 5814 30168
1 16125 16499
1 5372 30307
1 13189 15788
1 31476 25806
1 2636 10847
1 4589 8853
1 31476 29285
1 22410 714
1 21257 23271
1 5632 10490
1 10109 14454
1 34359 37736
1 12915 28446
1 32113 33837
1 17221 30915
1 17005 38050
1 33081 26433
1 39624 26953
1 34974 5330
1 11214 4837
1 6321 19765
1 4868 29114
1 36557 22608
1 24901 18597
1 5746 22401
1 22792 11888
1 27750 3083
1 29890 15451
1 13444 11467
1 32065 2758
1 38220 24676
1 12948 16306
1 3290 23167
1 26047 15921
1 1130 38743
1 33593 5016
1 34016 22165
1 38974 8449
1 7504 34159
1 30185 28154
1 32563 9719
1 3880 31063
1 7815 25167
1 38287 12789
1 21862 26096
1 16949 24636
1 13196 25088
1 17270 8421
1 26493 23238
1 6432 12174
1 29006 638
1 3731 19728
1 36302 9533
1 7903 3793
1 30302 31563
1 17319 16784
1 10521 16746
1 9524 32639
1 32969 2574
1 29082 20825
1 5082 20191
